duration_minutes,likes,comments,engagement_rate,Year,Month,Day,PublishedDay_Monday,PublishedDay_Monday,PublishedDay_Saturday,PublishedDay_Saturday,PublishedDay_Sunday,PublishedDay_Sunday,PublishedDay_Thursday,PublishedDay_Thursday,PublishedDay_Tuesday,PublishedDay_Tuesday,PublishedDay_Wednesday,PublishedDay_Wednesday,PublishedDay_Monday,PublishedDay_Monday,PublishedDay_Saturday,PublishedDay_Saturday,PublishedDay_Sunday,PublishedDay_Sunday,PublishedDay_Thursday,PublishedDay_Thursday,PublishedDay_Tuesday,PublishedDay_Tuesday,PublishedDay_Wednesday,PublishedDay_Wednesday,video_type_Shorts,Actual_Views,Predicted_Views,title,publishedAt
30,53591,10967.0,0.008892286501377411,2025,7,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2113377,4299382.39,"I Bought 1,000 lbs of LOST MAIL Packages (FINALE)",2025-07-26
1,21917,276.0,0.003056887052341598,2025,7,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,638214,729330.39,How many POPMART boxes until I get a SECRET?!,2025-07-15
50,77959,3990.0,0.011287741046831955,2025,7,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4534189,6015235.44,I Bought EVERY POPMART Mystery Box,2025-07-12
28,47264,3456.0,0.006986225895316805,2025,6,28,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2457585,2494869.36,I Bought DISCONTINUED FOOD From Our Childhood,2025-06-28
29,61795,2669.0,0.008879338842975206,2025,6,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2950013,3501565.85,I Bought EVERY Tiktok Mystery Box,2025-06-21
27,130507,7302.0,0.018981955922865015,2025,6,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6228065,7719693.2,I Investigated Ai SCAM Products,2025-06-07
16,41311,1732.0,0.005928787878787879,2025,5,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1952532,1987094.27,I Tested UNREALISTIC Pinterest Hair,2025-05-24
0,31534,281.0,0.004382231404958678,2025,5,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1102526,1122009.41,What Design will this BURN AWAY SHIRT Reveal?!,2025-05-17
35,58779,3374.0,0.008561019283746557,2025,5,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3225812,3482762.86,I Tested TOP YOUTUBER Products,2025-05-10
21,50879,2797.0,0.007393388429752066,2025,5,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3837261,2899815.77,I Tested VIRAL Beauty Products you won’t believe,2025-05-03
