video_id,title,publishedAt,publishtime,views,likes,comments,duration,subscriber_count,duration_seconds,duration_minutes,video_type,thumbnail_url
nCps1Z_uTes,"I Bought 1,000 lbs of LOST MAIL Packages (FINALE)",26-07-2025,14:30:37Z,2113377,53591,10967,PT29M32S,7260000,1772,30,Full Video,https://i.ytimg.com/vi/nCps1Z_uTes/hqdefault.jpg
Ypjup_5sowM,How many POPMART boxes until I get a SECRET?!,15-07-2025,13:15:10Z,638214,21917,276,PT58S,7260000,58,1,Shorts,https://i.ytimg.com/vi/Ypjup_5sowM/hqdefault.jpg
8rqjjQLQOUQ,I Bought EVERY POPMART Mystery Box,12-07-2025,14:30:08Z,4534189,77959,3990,PT49M54S,7260000,2994,50,Full Video,https://i.ytimg.com/vi/8rqjjQLQOUQ/hqdefault.jpg
#NAME?,I Bought DISCONTINUED FOOD From Our Childhood,28-06-2025,14:30:00Z,2457585,47264,3456,PT27M30S,7260000,1650,28,Full Video,https://i.ytimg.com/vi/-eK4l7LVeyQ/hqdefault.jpg
e8wo4WlPt5Q,I Bought EVERY Tiktok Mystery Box,21-06-2025,14:30:25Z,2950013,61795,2669,PT29M24S,7260000,1764,29,Full Video,https://i.ytimg.com/vi/e8wo4WlPt5Q/hqdefault.jpg
sTQHJCkAj1Q,I Investigated Ai SCAM Products,07-06-2025,14:30:29Z,6228065,130507,7302,PT26M59S,7260000,1619,27,Full Video,https://i.ytimg.com/vi/sTQHJCkAj1Q/hqdefault.jpg
JuTMcEG_jq4,I Tested UNREALISTIC Pinterest Hair,24-05-2025,14:30:24Z,1952532,41311,1732,PT16M13S,7260000,973,16,Full Video,https://i.ytimg.com/vi/JuTMcEG_jq4/hqdefault.jpg
z5hY-Zdz9bI,What Design will this BURN AWAY SHIRT Reveal?!,17-05-2025,13:01:43Z,1102526,31534,281,PT27S,7260000,27,0,Shorts,https://i.ytimg.com/vi/z5hY-Zdz9bI/hqdefault.jpg
e5NMV4U790o,I Tested TOP YOUTUBER Products,10-05-2025,14:30:33Z,3225812,58779,3374,PT35M6S,7260000,2106,35,Full Video,https://i.ytimg.com/vi/e5NMV4U790o/hqdefault.jpg
huywVCJvqn4,I Tested VIRAL Beauty Products you won’t believe,03-05-2025,14:30:21Z,3837261,50879,2797,PT20M54S,7260000,1254,21,Full Video,https://i.ytimg.com/vi/huywVCJvqn4/hqdefault.jpg
v56xk82HBbo,What My Dresses Would Look Like as People? #Sponsored #DreamScreenAI,28-04-2025,21:01:03Z,1017651,31071,,PT38S,7260000,38,1,Shorts,https://i.ytimg.com/vi/v56xk82HBbo/hqdefault.jpg
4IUMN2jApkM,I Painted a LOUIS VUITTON Bag in 5 MIN vs 5 HOURS vs 5 DAYS,19-04-2025,14:30:03Z,1506297,37396,2607,PT19M7S,7260000,1147,19,Full Video,https://i.ytimg.com/vi/4IUMN2jApkM/hqdefault.jpg
MtKTM2XHKks,How I keep my PINK HAIR off the floor! The ultimate robot vacuum assistant #ad,13-04-2025,23:01:09Z,615420,13022,150,PT44S,7260000,44,1,Shorts,https://i.ytimg.com/vi/MtKTM2XHKks/hqdefault.jpg
FrLeSRpAnbM,I Tested VIRAL Tiktok CANDY You Won’t Believe,12-04-2025,14:30:15Z,6104909,87070,5342,PT24M28S,7260000,1468,24,Full Video,https://i.ytimg.com/vi/FrLeSRpAnbM/hqdefault.jpg
hOkMz8UaDfs,World's BIGGEST Crocs vs World's SMALLEST Crocs,07-04-2025,14:30:31Z,1890874,36866,152,PT18S,7260000,18,0,Shorts,https://i.ytimg.com/vi/hOkMz8UaDfs/hqdefault.jpg
a3sIFY8LqKs,I Tested EVERY Mystery Box Website (part 2),05-04-2025,14:30:00Z,6149731,92145,4766,PT47M42S,7260000,2862,48,Full Video,https://i.ytimg.com/vi/a3sIFY8LqKs/hqdefault.jpg
rA6pRsD2OEs,Dressing as VEGGIES in the WORLD’S LARGEST SHOPPING CART,31-03-2025,23:55:45Z,3901884,102438,455,PT31S,7260000,31,1,Shorts,https://i.ytimg.com/vi/rA6pRsD2OEs/hqdefault.jpg
43KNkiVlC1E,I Bought EVERY CROCS Charm (aka JIBBITZ),29-03-2025,14:30:01Z,2120449,31939,2420,PT21M19S,7260000,1279,21,Full Video,https://i.ytimg.com/vi/43KNkiVlC1E/hqdefault.jpg
Wxgkda9YiHw,"I Bought the SAME DRESS for $30, $300, $3,000",22-03-2025,14:30:25Z,3094339,74282,2596,PT15M13S,7260000,913,15,Full Video,https://i.ytimg.com/vi/Wxgkda9YiHw/hqdefault.jpg
xZNOwulyD7E,I Bought from EVERY LIVE Stream SHOPPING App,15-03-2025,14:30:34Z,3380826,57207,2612,PT26M56S,7260000,1616,27,Full Video,https://i.ytimg.com/vi/xZNOwulyD7E/hqdefault.jpg
xQxY-ByqP-U,Testing PINTEREST Vacation spots: Lake Edition,06-03-2025,00:04:11Z,1002215,32341,387,PT23S,7260000,23,0,Shorts,https://i.ytimg.com/vi/xQxY-ByqP-U/hqdefault.jpg
Qd8VkPq3Avo,I got my SCAM Dresses FIXED by a Seamstress,01-03-2025,15:30:13Z,2747496,90014,2830,PT16M37S,7260000,997,17,Full Video,https://i.ytimg.com/vi/Qd8VkPq3Avo/hqdefault.jpg
mI4menWw2lc,I Created GIANT VIRAL BEAUTY Products,22-02-2025,15:30:17Z,7380059,72419,5072,PT26M9S,7260000,1569,26,Full Video,https://i.ytimg.com/vi/mI4menWw2lc/hqdefault.jpg
FMuJeIFzHq4,WHAT color is THE DRESS ???,20-02-2025,15:58:56Z,5372207,174347,10437,PT30S,7260000,30,0,Shorts,https://i.ytimg.com/vi/FMuJeIFzHq4/hqdefault.jpg
ZsmrwMTFEUk,Investigating UNREALISTIC Ai Products,15-02-2025,15:30:19Z,8265370,137058,7863,PT30M50S,7260000,1850,31,Full Video,https://i.ytimg.com/vi/ZsmrwMTFEUk/hqdefault.jpg
370PVGH49D0,I Bought the MOST UNUSUAL TIKTOK Nails,01-02-2025,15:30:02Z,4540978,55978,2540,PT24M32S,7260000,1472,25,Full Video,https://i.ytimg.com/vi/370PVGH49D0/hqdefault.jpg
nyC6e3O705g,When SMOKE DYED Clothes get WET ?!,27-01-2025,15:30:17Z,1214157,36901,114,PT29S,7260000,29,0,Shorts,https://i.ytimg.com/vi/nyC6e3O705g/hqdefault.jpg
no0xoyJIt1I,I Tested UNUSUAL Viral Tiktok Candy,25-01-2025,15:30:18Z,9225117,101640,7583,PT20M38S,7260000,1238,21,Full Video,https://i.ytimg.com/vi/no0xoyJIt1I/hqdefault.jpg
nMAY8KKSo0I,"Can YOU GUESS $100 vs $10,000 Outfit?!",20-01-2025,15:30:17Z,5588099,187007,264,PT37S,7260000,37,1,Shorts,https://i.ytimg.com/vi/nMAY8KKSo0I/hqdefault.jpg
7xc_OAfs62Y,"I Bought the SAME OUTFIT for $100, $1000, $10,000",18-01-2025,15:30:02Z,4897779,92920,3026,PT27M23S,7260000,1643,27,Full Video,https://i.ytimg.com/vi/7xc_OAfs62Y/hqdefault.jpg
